City,Population,State,Latitude,Longitude,Cost of Living,min_distance,pop_norm,col_norm,dist_norm,cost_score,prox_score,demand_score,final_score
Proddatur,162717,Andhra Pradesh,15.9240905,80.1863809,103.9,0.0,0.0049588954669502,0.1010989010989011,0.0,0.8989010989010988,1.0,0.0049588954669502,0.4822596675136948
Achalpur,112311,Maharashtra,18.9068356,75.6741579,103.1,0.0,0.0008744128140899,0.0923076923076922,0.0,0.9076923076923078,1.0,0.0008744128140899,0.4819756679455065
Guntakal,126270,Andhra Pradesh,15.9240905,80.1863809,103.4,0.0,0.0020055339772704,0.0956043956043957,0.0,0.9043956043956044,1.0,0.0020055339772704,0.4818818878677561
Madanapalle,135669,Andhra Pradesh,15.9240905,80.1863809,103.6,0.0,0.0027671506985781,0.0978021978021976,0.0,0.9021978021978024,1.0,0.0027671506985781,0.4818231357888495
Thanjavur,222943,Tamil Nadu,10.9094334,78.3665347,105.3,0.0,0.0098391091766509,0.1164835164835165,0.0,0.8835164835164835,1.0,0.0098391091766509,0.4816228512916222
Junagadh,320250,Gujarat,22.3850051,71.745261,107.2,0.0,0.0177240584585198,0.1373626373626373,0.0,0.8626373626373627,1.0,0.0177240584585198,0.4813895017567324
Hinganghat,101805,Maharashtra,18.9068356,75.6741579,103.3,0.0,2.3094027617052287e-05,0.0945054945054943,0.0,0.9054945054945056,1.0,2.3094027617052287e-05,0.4811104481127096
Hindupur,151835,Andhra Pradesh,15.9240905,80.1863809,104.3,0.0,0.004077108770358,0.1054945054945055,0.0,0.8945054945054944,1.0,0.004077108770358,0.4809396532862779
Wardha,106444,Maharashtra,18.9068356,75.6741579,103.5,0.0,0.000398999971882,0.0967032967032968,0.0,0.9032967032967032,1.0,0.000398999971882,0.4808588406452816
Vasai-Virar,1222390,Maharashtra,18.9068356,75.6741579,124.1,0.0,0.0908259745092174,0.323076923076923,0.0,0.676923076923077,1.0,0.0908259745092174,0.4807976026392241
Vizianagaram,228025,Andhra Pradesh,15.9240905,80.1863809,105.8,0.0,0.0102509121533171,0.1219780219780219,0.0,0.878021978021978,1.0,0.0102509121533171,0.4807298516810542
Yavatmal,116551,Maharashtra,18.9068356,75.6741579,103.8,0.0,0.0012179871196909,0.1,0.0,0.8999999999999999,1.0,0.0012179871196909,0.4806089935598455
Tenali,164937,Andhra Pradesh,15.9240905,80.1863809,104.7,0.0,0.0051387857873357,0.1098901098901099,0.0,0.8901098901098901,1.0,0.0051387857873357,0.4805913709156459
Thane,1841488,Maharashtra,18.9068356,75.6741579,135.8,0.0,0.1409925229641743,0.4516483516483518,0.0,0.5483516483516482,1.0,0.1409925229641743,0.4801665911524168
Dindigul,207327,Tamil Nadu,10.9094334,78.3665347,105.7,0.0,0.008573718526588,0.1208791208791209,0.0,0.8791208791208791,1.0,0.008573718526588,0.4801110350874699
Durg,268679,Chhattisgarh,21.6637359,81.8406351,106.9,0.0,0.013545173903295,0.134065934065934,0.0,0.865934065934066,1.0,0.013545173903295,0.4799594001384607
Dharmavaram,121874,Andhra Pradesh,15.9240905,80.1863809,104.2,0.0,0.0016493187302368,0.1043956043956044,0.0,0.8956043956043955,1.0,0.0016493187302368,0.4799455384859975
Tadipatri,108171,Andhra Pradesh,15.9240905,80.1863809,104.1,0.0,0.0005389416760737,0.1032967032967031,0.0,0.8967032967032968,1.0,0.0005389416760737,0.4796101301786962
Chittoor,189332,Andhra Pradesh,15.9240905,80.1863809,105.6,0.0,0.0071155535196797,0.1197802197802198,0.0,0.8802197802197802,1.0,0.0071155535196797,0.4796017328037959
Singrauli,220257,Madhya Pradesh,23.8143419,77.5340719,106.2,0.0,0.0096214580953196,0.1263736263736263,0.0,0.8736263736263736,1.0,0.0096214580953196,0.4795360037729346
Ongole,204746,Andhra Pradesh,15.9240905,80.1863809,106.2,0.0,0.008364575771221,0.1263736263736263,0.0,0.8736263736263736,1.0,0.008364575771221,0.4789075626108852
Bhimavaram,142280,Andhra Pradesh,15.9240905,80.1863809,105.2,0.0,0.0033028511076179,0.1153846153846154,0.0,0.8846153846153846,1.0,0.0033028511076179,0.4785745024768859
Narasaraopet,116250,Andhra Pradesh,15.9240905,80.1863809,104.9,0.0,0.0011935965852603,0.1120879120879121,0.0,0.8879120879120879,1.0,0.0011935965852603,0.4781792158750477
Srikakulam,125939,Andhra Pradesh,15.9240905,80.1863809,105.1,0.0,0.0019787124925643,0.1142857142857143,0.0,0.8857142857142857,1.0,0.0019787124925643,0.4781322133891393
Thoothukudi,237374,Tamil Nadu,10.9094334,78.3665347,107.6,0.0,0.0110084772908323,0.1417582417582417,0.0,0.8582417582417583,1.0,0.0110084772908323,0.4771525902937678
Machilipatnam,169892,Andhra Pradesh,15.9240905,80.1863809,106.4,0.0,0.0055402977411691,0.1285714285714285,0.0,0.8714285714285714,1.0,0.0055402977411691,0.4770558631562988
Gudivada,118167,Andhra Pradesh,15.9240905,80.1863809,105.6,0.0,0.0013489343078634,0.1197802197802198,0.0,0.8802197802197802,1.0,0.0013489343078634,0.4767184231978878
Kavali,104000,Andhra Pradesh,15.9240905,80.1863809,105.4,0.0,0.0002009585561062,0.1175824175824176,0.0,0.8824175824175824,1.0,0.0002009585561062,0.4765839957615696
Tadepalligudem,103906,Andhra Pradesh,15.9240905,80.1863809,105.7,0.0,0.0001933415785764,0.1208791208791209,0.0,0.8791208791208791,1.0,0.0001933415785764,0.475920846613464
Kalyan-Dombivli,1247327,Maharashtra,18.9068356,75.6741579,126.9,0.0,0.0928466614098717,0.3538461538461539,0.0,0.6461538461538461,1.0,0.0928466614098717,0.475654099935705
Udaipur,451735,Rajasthan,26.8105777,73.7684549,112.5,0.0,0.0283785083575665,0.1956043956043955,0.0,0.8043956043956044,1.0,0.0283785083575665,0.4750683750579041
Karaikudi,106714,Tamil Nadu,10.9094334,78.3665347,106.2,0.0,0.0004208785243613,0.1263736263736263,0.0,0.8736263736263736,1.0,0.0004208785243613,0.4749357139874554
Surendranagar Dudhrej,177851,Gujarat,22.3850051,71.745261,107.6,0.0,0.0061852288492537,0.1417582417582417,0.0,0.8582417582417583,1.0,0.0061852288492537,0.4747409660729785
Nagarcoil,224849,Tamil Nadu,10.9094334,78.3665347,108.9,0.0,0.0099935555508197,0.1560439560439561,0.0,0.8439560439560438,1.0,0.0099935555508197,0.4737879865666186
Satara,120195,Maharashtra,18.9068356,75.6741579,107.3,0.0,0.0015132665464858,0.1384615384615384,0.0,0.8615384615384616,1.0,0.0015132665464858,0.4730643255809352
Morvi,194947,Gujarat,22.3850051,71.745261,108.7,0.0,0.0075705463795735,0.1538461538461539,0.0,0.846153846153846,1.0,0.0075705463795735,0.473016042420556
Gandhidham,248705,Gujarat,22.3850051,71.745261,109.7,0.0,0.0119266472098808,0.1648351648351649,0.0,0.8351648351648351,1.0,0.0119266472098808,0.4729962906379074
Rohtak,373133,Haryana,29.0,76.0,112.8,0.0,0.0220092565724589,0.1989010989010988,0.0,0.8010989010989011,1.0,0.0220092565724589,0.4712244085060096
Ludhiana,1618879,Punjab,30.9293211,75.5004841,112.9,97.4579834015409,0.122954142635035,0.2000000000000001,0.1684703335226556,0.7999999999999998,0.8315296664773444,0.122954142635035,0.4709359712607208
Kanpur,2765348,Uttar Pradesh,27.1303344,80.859666,98.7,247.24807907914445,0.215854447014319,0.043956043956044,0.4274043530500633,0.956043956043956,0.5725956469499367,0.215854447014319,0.4709147088009316
Sambalpur,184000,Odisha,20.5431241,84.6897321,109.7,0.0,0.0066834926240511,0.1648351648351649,0.0,0.8351648351648351,1.0,0.0066834926240511,0.4703747133449926
Bhiwandi,711329,Maharashtra,18.9068356,75.6741579,119.6,0.0,0.0494138452179926,0.2736263736263735,0.0,0.7263736263736265,1.0,0.0494138452179926,0.4699816478837216
Rourkela,273217,Odisha,20.5431241,84.6897321,111.8,0.0,0.0139128956482991,0.1879120879120879,0.0,0.8120879120879121,1.0,0.0139128956482991,0.4693740302417319
Nadiad,218095,Gujarat,22.3850051,71.745261,110.8,0.0,0.0094462676121334,0.1769230769230769,0.0,0.823076923076923,1.0,0.0094462676121334,0.4693385184214513
Mahesana,184991,Gujarat,22.3850051,71.745261,110.4,0.0,0.0067637950148178,0.1725274725274725,0.0,0.8274725274725274,1.0,0.0067637950148178,0.4688764030019144
Anand,198282,Gujarat,22.3850051,71.745261,111.9,0.0,0.007840787018531,0.189010989010989,0.0,0.810989010989011,1.0,0.007840787018531,0.4661181957070677
Panipat,294150,Haryana,29.0,76.0,113.7,0.0,0.0156091317188528,0.2087912087912089,0.0,0.7912087912087911,1.0,0.0156091317188528,0.4660463241011846
Sirsa,182534,Haryana,29.0,76.0,111.9,0.0,0.006564700187256,0.189010989010989,0.0,0.810989010989011,1.0,0.006564700187256,0.4654801522914302
Bhiwani,196057,Haryana,29.0,76.0,112.3,0.0,0.0076604915397663,0.1934065934065933,0.0,0.8065934065934066,1.0,0.0076604915397663,0.4651489270885645
Srinagar,1180570,Jammu and Kashmir,33.6649297,75.1629584,112.5,76.99677983402236,0.0874372298251992,0.1956043956043955,0.1331001599464979,0.8043956043956044,0.8668998400535021,0.0874372298251992,0.4646676878077711
Raurkela Industrial Township,210317,Odisha,20.5431241,84.6897321,112.9,0.0,0.0088160032373775,0.2000000000000001,0.0,0.7999999999999998,1.0,0.0088160032373775,0.4644080016186887
Sonipat,277053,Haryana,29.0,76.0,114.2,0.0,0.0142237331568571,0.2142857142857144,0.0,0.7857142857142856,1.0,0.0142237331568571,0.4642547237212857
Amritsar,1132383,Punjab,30.9293211,75.5004841,107.2,97.4579834015409,0.0835325564610485,0.1373626373626373,0.1684703335226556,0.8626373626373627,0.8315296664773444,0.0835325564610485,0.4637526507012001
Yamunanagar,216677,Haryana,29.0,76.0,113.4,0.0,0.0093313646957791,0.2054945054945056,0.0,0.7945054945054943,1.0,0.0093313646957791,0.4635667812489884
Avadi,344701,Tamil Nadu,10.9094334,78.3665347,115.8,0.0,0.0197053639647113,0.2318681318681319,0.0,0.7681318681318681,1.0,0.0197053639647113,0.4634790556087292
Ambattur,478134,Tamil Nadu,10.9094334,78.3665347,118.6,0.0,0.0305176635683124,0.2626373626373626,0.0,0.7373626373626374,1.0,0.0305176635683124,0.4627313592566837
Vellore,185803,Tamil Nadu,10.9094334,78.3665347,113.8,0.0,0.0068295927356074,0.2098901098901098,0.0,0.7901098901098902,1.0,0.0068295927356074,0.4614367743897818
Thiruvananthapuram,752490,Kerala,10.3528744,76.5120396,118.3,25.555024180807905,0.0527491900276261,0.2593406593406593,0.0441755851768647,0.7406593406593407,0.9558244148231352,0.0527491900276261,0.4612537875926218
Karnal,286974,Haryana,29.0,76.0,115.8,0.0,0.0150276484129581,0.2318681318681319,0.0,0.7681318681318681,1.0,0.0150276484129581,0.4611401978328527
Ambala,195153,Haryana,29.0,76.0,114.6,0.0,0.0075872389047985,0.2186813186813185,0.0,0.7813186813186814,1.0,0.0075872389047985,0.4600573557161356
Lucknow,2817105,Uttar Pradesh,27.1303344,80.859666,105.4,247.24807907914445,0.2200484034612518,0.1175824175824176,0.4274043530500633,0.8824175824175824,0.5725956469499367,0.2200484034612518,0.4582864122991233
Ulhasnagar,506937,Maharashtra,18.9068356,75.6741579,122.4,0.0,0.0328516189278002,0.3043956043956044,0.0,0.6956043956043956,1.0,0.0328516189278002,0.4555466885847792
Kozhikode,432097,Kerala,10.3528744,76.5120396,115.7,25.555024180807905,0.0267872083072377,0.2307692307692308,0.0441755851768647,0.7692307692307692,0.9558244148231352,0.0267872083072377,0.4539870824467132
Kollam,349033,Kerala,10.3528744,76.5120396,114.2,25.555024180807905,0.0200563931844905,0.2142857142857144,0.0441755851768647,0.7857142857142856,0.9558244148231352,0.0200563931844905,0.453918378182043
